CustomerID,Gender,SeniorCitizen,Partner,Dependents,TenureMonths,PhoneService,MultipleLines,InternetService,ContractType,PaymentMethod,MonthlyCharges,TotalCharges,CustomerSupportCalls,UsageTier,ChurnRiskScore,Churn
CUST-2000,Male,0,No,No,2,Yes,Yes,No,Month-to-month,Mailed check,97.89,195.78,2,High,0.98,Yes
CUST-2001,Male,1,No,No,62,Yes,No,Fiber optic,One year,Credit card,61.77,3829.74,3,Medium,0.39,No
CUST-2002,Male,0,No,No,14,Yes,Yes,Fiber optic,One year,Mailed check,99.26,1389.64,1,High,0.48,No
CUST-2003,Male,0,Yes,Yes,39,Yes,No,DSL,One year,Electronic check,105.97,4132.83,3,High,0.42,No
CUST-2004,Female,0,Yes,Yes,39,Yes,No,DSL,Month-to-month,Bank transfer,109.58,4273.62,2,High,0.86,Yes
CUST-2005,Male,0,No,No,38,Yes,Yes,No,One year,Mailed check,88.63,3367.94,1,High,0.39,No
CUST-2006,Male,0,Yes,No,13,Yes,Yes,Fiber optic,Month-to-month,Bank transfer,101.18,1315.34,0,High,0.78,Yes
CUST-2007,Female,0,Yes,Yes,2,Yes,No,DSL,Month-to-month,Bank transfer,78.86,157.72,5,High,0.98,Yes
CUST-2008,Female,1,Yes,No,62,Yes,Yes,No,Month-to-month,Mailed check,48.04,2978.48,2,Medium,0.73,Yes
CUST-2009,Male,0,No,No,9,Yes,No,No,Month-to-month,Electronic check,91.28,821.52,3,High,0.9,Yes
CUST-2010,Male,1,No,Yes,55,Yes,Yes,No,Month-to-month,Credit card,79.71,4384.05,2,High,0.71,Yes
CUST-2011,Male,1,Yes,No,38,Yes,No,Fiber optic,Month-to-month,Bank transfer,56.23,2136.74,2,Medium,0.64,Yes
CUST-2012,Female,0,Yes,Yes,33,Yes,No,Fiber optic,Month-to-month,Electronic check,77.25,2549.25,1,High,0.68,Yes
CUST-2013,Female,0,Yes,No,63,Yes,Yes,DSL,Two year,Credit card,70.2,4422.6,1,Medium,0.35,No
CUST-2014,Female,0,No,No,45,Yes,Yes,DSL,Month-to-month,Mailed check,100.29,4513.05,2,High,0.81,Yes
CUST-2015,Female,0,No,Yes,4,Yes,Yes,No,Month-to-month,Credit card,102.56,410.24,2,High,0.98,Yes
CUST-2016,Female,0,Yes,Yes,8,Yes,Yes,No,Month-to-month,Electronic check,44.98,359.84,2,Low,0.57,No
CUST-2017,Female,0,Yes,No,34,Yes,No,No,Two year,Mailed check,113.99,3875.66,4,High,0.63,Yes
CUST-2018,Male,0,Yes,Yes,19,Yes,Yes,Fiber optic,Month-to-month,Electronic check,103.88,1973.72,4,High,0.98,Yes
CUST-2019,Female,0,No,Yes,9,Yes,No,No,Month-to-month,Credit card,51.5,463.5,2,Medium,0.72,Yes
CUST-2020,Female,0,No,No,14,Yes,No,DSL,One year,Electronic check,87.9,1230.6,1,High,0.48,No
CUST-2021,Male,0,No,No,37,Yes,Yes,Fiber optic,Month-to-month,Electronic check,107.29,3969.73,0,High,0.82,Yes
CUST-2022,Female,1,No,Yes,27,Yes,No,DSL,Two year,Mailed check,103.65,2798.55,3,High,0.53,No
